الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة  بالريال السعودي
الشئون الصحية بمنطقة مكة المكرمة,ربط ابواب الطوارئ بنظام انذار الحريق بالمختبر الإقليمي بحدا بمكة المكرمة لعام 1444هـ ,2023-01-17,184999.99
الشئون الصحية بمنطقة مكة المكرمة,اعمال تطوير الموقع العام بالمختبر الإقليمي بمكة المكرمة لعام 1444هـ ,2023-02-19,846452.0
الشئون الصحية بمنطقة مكة المكرمة,تطوير وترميم مقر إدارة الوفيات بمجمع الطوارئ بالمعيصم بمكة المكرمة لعام 1444هـ ,2023-02-19,387757.0
الشئون الصحية بمحافظة جدة,مشروع تجديد رخصة الجدار الناري لمديرية الشئون الصحية بمحافظة جدة,2023-03-05,190734.4
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع, توحيد حلول أنظمة قواعد البيانات - المرحلة الثانية,2023-01-29,2953864.7
هيئة الزكاة والدخل,نظافة وصيانة وتشغيل مباني إدارة جمرك موانئ ( الملك عبدالعزيز – الجبيل – رأس تنورة – ينبع ) ,2023-02-07,14923585.72
بلدية بارق,مشروع صيانة وتركيب بلدورات اسمنتيه وعشب صناعي لزوم معالجة التشوهات البصرية في الحدائق العامة ,2022-11-27,94990.28
بلدية بارق,مشروع صيانة الارصفة الجانبية  بمحافظة بارق ,2023-05-30,705522.16
بلدية بارق,مشروع توريد كابلات كهربائية ,2022-12-01,202768.0
بلدية بارق,مشروع توريد ( حديد ورش ) ,2022-12-01,202256.25
المؤسسة العامة لتحلية المياه المالحة,توريد وصلات انابيب لمحطات التحلية بالجبيل 60008217	,2023-04-13,532159.05
بلدية محافظة سراة عبيدة,تأمين وتوريد أعمدة بطول 12 م و 10 م  لبلدية محافظة سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-10,161080.5
بلدية محافظة سراة عبيدة,تأمين وتوريد طلبات للورشة الحدادة لبلدية محافظة سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-15,141777.75
بلدية محافظة سراة عبيدة,تأمين وتوريد فلاتر للمعدات وسيارات البلدية  لبلدية محافظة سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-10,292422.0
بلدية محافظة سراة عبيدة,تأمين وتوريد مضخات وغطاسات مياه الري للمزروعات والأشجار والمسطحات الخضراء  لبلدية محافظة سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-16,138839.5
بلدية محافظة سراة عبيدة,تأمين وتوريد مبيدات لمكافحة الحشرات والقوارض   لبلدية محافظة سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-10,141260.25
بلدية محافظة سراة عبيدة, تأمين  وتوريد مكائن لقص الأنجيلة لبلدية محافظة سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-16,146291.5
بلدية محافظة سراة عبيدة, تأمين  وتوريد مضخات لسحب مياه الأمطار والسيول لبلدية محافظة سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-16,172500.0
بلدية محافظة سراة عبيدة, تأمين  وتوريد مضخة حريق للورشة والصيانة لبلدية محافظة سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-15,211778.25
بلدية محافظة سراة عبيدة,مشروع لنظافة وعمال البناء إدارة الخدمات لبلدية محافظة سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-15,155015.97
بلدية محافظة سراة عبيدة,طلب تأمين  للورشة والصيانة والبنشر لبلدية محافظة سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-15,218061.85
بلدية محافظة سراة عبيدة,مشروع طلب ليات زراعية ومحابس ورشاشا ت للحدايق والأشجار لبلدية محافظة سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-15,172500.0
بلدية محافظة سراة عبيدة,مشروع صيانة سفلته شوارع السوق القديم - بلدية محافظة سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-15,195304.5
بلدية محافظة سراة عبيدة,مشروع صيانة إنارة الحدائق بلدية محافظة سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-10,150880.0
بلدية محافظة سراة عبيدة,مشروع صيانة شبك أسوار ملااعب بلدية محافظة سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-15,242420.0
بلدية محافظة سراة عبيدة,مشروع صيانة سفلته شوارع مخطط الجوه وتكون حسب المواصفات المطلوبة.,2022-11-10,182988.0
بلدية محافظة سراة عبيدة,مشروع صيانة أنجيلة ملااعب سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-10,179515.0
بلدية محافظة سراة عبيدة,مشروع صيانة مطبات شوارع سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-16,254265.0
بلدية محافظة سراة عبيدة,مشروع صيانة أعمال وسائل السلامة المرورية لدى بلدية محافظة سراة عبيدةوتكون حسب المواصفات المطلوبة.,2022-11-10,270572.0
بلدية محافظة سراة عبيدة,مشروع صيانة سفلته شوارع مخطط العسران وتكون حسب المواصفات المطلوبة.,2022-11-10,195304.5
بلدية محافظة سراة عبيدة,مشروع صيانة سفلته شوارع مخطط عين اللوي وتكون حسب المواصفات المطلوبة.,2022-11-10,195304.5
بلدية محافظة سراة عبيدة,مشروع صيانة سفلته شوارع مخطط الوهابة وتكون حسب المواصفات المطلوبة.,2022-11-10,195304.5
بلدية محافظة سراة عبيدة,مشروع صيانة سفلته شوارع مخطط المنح ج وتكون حسب المواصفات المطلوبة.,2022-11-10,195304.5
بلدية محافظة سراة عبيدة,مشروع صيانة سلات المهملات وكراسي لبلدية محافظة سراة عبيدة وتكون حسب المواصفات المطلوبة.,2022-11-10,269100.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,منافسة الطب الاتصالي في مجال الأشعة التابعة لمستشفى الملك فيصل التخصصي ومركز الابحاث - Tele-radiology Services ,2023-03-07,17999869.0
وكالة الفضاء السعودية,رخص موزعات الأحمال,2022-11-20,727494.16
مدينة الملك سعود الطبية,تجديد اشتراك استخدام برمجيات الترميز الطبي الأسترالي (ICD-10-AM) والمجموعات ذات العلاقة التشخيصية (DRG) في تجمع الرياض الصحي ,2023-01-12,4455124.15
الهيئة العامة لعقارات الدولة,توريد شاشات تلفزيونية ذكية وشاشات اجتماعات تفاعلية ,2023-03-07,632730.0
مدينة رأس الخير  الصناعية,تأمين مواد استهلاكية للطابعات والراسمات الهندسية للهيئة الملكية براس الخير,2023-04-09,499964.8
أمانة منطقة الباحة,تأمين وتوريد قطع غيار عام لمعدات وشاحنات ومركبات الأمانة. -أمانة منطقة الباحة-,2023-03-12,979518.25
