الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة  بالريال السعودي
إدارة التعليم بمحافظة النماص,عملية ترميم مسرح الإدارة الرئيسي,2023-02-26,1039312.5
أمانة منطقة المدينة المنورة,مشروع تطوير وتشغيل وصيانة مركز متابعة العمليات البلدية بأمانة منطقة المدينة المنورة ,2023-06-04,19975500.0
هيئة الهلال الأحمر السعودي,توريد مياه استهلاكية بالصهاريج للمراكز الاسعافية  الغير مشمولة بشبكة المياه العامة لمنطقة نجران ,2023-05-14,115368.0
هيئة الهلال الأحمر السعودي,توريد مياه استهلاكية بالصهاريج للمراكز الاسعافية  الغير مشمولة بشبكة المياه العامة لمنطقة عسير,2023-05-10,118459.2
هيئة الهلال الأحمر السعودي,توريد مياه استهلاكية بالصهاريج للمراكز الاسعافية  الغير مشمولة بشبكة المياه العامة لمنطقة جازان,2023-04-22,50342.4
هيئة الهلال الأحمر السعودي,توريد مياه استهلاكية بالصهاريج للمراكز الاسعافية  الغير مشمولة بشبكة المياه العامة لمنطقة المدينة المنورة,2023-04-14,104984.88
هيئة الهلال الأحمر السعودي,توريد مياه استهلاكية بالصهاريج للمراكز الاسعافية  الغير مشمولة بشبكة المياه العامة لمنطقة الشرقية,2023-03-30,125142.54
هيئة الهلال الأحمر السعودي,توريد مياه استهلاكية بالصهاريج للمراكز الاسعافية  الغير مشمولة بشبكة المياه العامة لمنطقة الرياض,2023-06-04,116626.6
الهيئة السعودية للبيانات والذكاء الاصطناعي,الحصول على بيانات خدمة العملاء,2023-06-21,3999876.0
إدارة التعليم بمحافظة سراة عبيدة,مقايسة النظافة لإدارة التعليم بمحافظة سراة عبيدة ,2023-05-17,7170030.0
التجمع الصحي بمنطقة القصيم,إنشاء جسر المشاه بمستشفى الملك فهد التخصصي ببريدة,2023-03-20,4845412.53
الهيئة السعودية للملكية الفكرية,مشروع توريد أجهزة تقنية لتغذية مبنى الهيئة السعودية للملكية الفكرية,2023-04-26,4785092.5
بلدية محافظة البكيرية,مشروع مباني بلدية ومرافق عامة بمحافظة البكيرية مرحلة 2,2023-03-22,2446510.0
أمانة منطقة الرياض,مشروع سفلتة طرق و شوارع مخططات المنح بجنوب مدينة الرياض (المرحلة الأولى 1444هـ) مخططات ((3200  بحي المصفاة) – (196/1 بحي طريق الخرج),2023-05-15,16593419.0
أمانة منطقة الرياض,مشروع سفلتة طرق و شوارع مخططات المنح بشرق مدينة الرياض (المرحلة الأولى 1444هـ) مخططات (196/2 - 196/3 ) بطريق الخرج -بلدية السلي),2023-06-21,18281412.0
الهيئة العامة للنقل,مشروع تطوير وتوسعة شبكة المقر الرئيسي للهيئة العامة للنقل ,2023-04-14,9760779.1
بنك التنمية الاجتماعية,تشغيل مركز دلني للأعمال 2,2023-03-14,23617435.0
أمانة منطقة حائل,إعادة تأهيل ومعالجة التشوهات البصرية بسور كورنيش السمراء,2023-02-20,4670150.0
بنك التنمية الاجتماعية,  توريد وتركيب أنظمة ورخص وتقديم خدمات احترافية لأنظمة الحماية والجدران النارية بالبنك,2023-04-12,677797.0
المؤسسة العامة لتحلية المياه المالحة,تحسين المداخل وممرات البهو بالمبنى الأداري بالمركز الرئيسي في الرياض,2023-06-11,1786927.5
الهيئة الملكية للجبيل وينبع - الإدارة العامة بالجبيل,تأمين مواد بطاقات الأمن الصناعي لمدينة الجبيل ,2023-04-12,294712.8
بنك التنمية الاجتماعية,مشروع تقديم الاستشارات لرواد الأعمال وأصحاب العمل الحر من خلال تفعيل التطوع الاحترافي,2023-03-23,2101625.0
المؤسسة العامة لتحلية المياه المالحة,استبدال وحدات التكييف في مباني مختلفة بمنظومة الإنتاج بالخبر,2023-04-02,1305894.0
