الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة
بنك التنمية الاجتماعية,تشغيل وصيانة ونظافة مباني الإدارة العامة لبنك التنمية الاجتماعية بالرياض ,2021-10-05,10080000.38
هيئة تطوير منطقة مكة المكرمة,تقديم خدمات تسويقية وإعلانية لمشروع الطريق السياحي بمنطقة مكة المكرمة (المرحلة الأولى),2021-11-09,3800000.0
مؤسسة البريد السعودي, مشروع التدريب السنوي _ برامج تطوير القادة ,2021-11-29,15527990.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار كهربائية لمحطة الشعيبة 60001662 INST SHO ,2021-10-11,158673.26
أمانة منطقة حائل,صيانة ممرات المشاه التابعة لبلدية فيد,2022-03-10,244950.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,توريد محول توزيع وقطع غيار كهرباء,2021-12-06,207230.0
صندوق التنمية السياحي,مشروع تشغيل وصيانة ونظافة مبنى مقر صندوق التنمية السياحي,2022-11-08,2323230.33
وزارة الطاقة,بناء وفهرسة القواعد الخاصة بمعلومات الأصول وتنصيب برنامج الأصول الثابتة,2021-10-17,1099000.0
بلدية محافظة البدائع,تأمين وتوريد الحواجز الخرسانية المسلحة وجه واحد ( النيوجرسي ) لبلدية محافظة البدائع ,2021-09-20,390000.0
مؤسسة البريد السعودي,مشروع تجديد نظام الصلاحيات العالية,2021-11-02,1694333.0
جامعة الملك خالد,مشروع تركيب وتشغيل مركز الوثائق والمحفوظات الرقمي بجامعة الملك خالد,2021-09-21,1100000.0
أمانة منطقة عسير, بشان مشروع محطة محروقات الامانه الاحتياطيه,2022-02-10,528942.5
المديرية العامة للشؤون الصحية بمنطقة جازان,تأمين ستائر طبية لزوم مستشفيات المنطقة ,2021-10-05,874000.0
وزارة البيئة والمياه والزراعة,تنفيذ وتطوير التركيبة المحصولية لمنطقة المدينة المنورة,2021-09-20,293710.0
جامعة الأميرة نورة بنت عبدالرحمن, توريد مستلزمات طبية لكلية الطب البشري بجامعة الأميرة نورة بنت عبدالرحمن,2022-02-07,258039.0
أمانة منطقة عسير,تشغيل وصيانة المكونات المادية للحاسب الآلي وملحقاته لأمانة منطقة عسير والبلديات الفرعية التابعة لها,2022-01-25,3619464.0
بلدية البرك,قيمة صيانة وتركيب ربراب لحماية بعض الطرق الترابية لبلدية البرك ,2021-10-31,142312.5
المديرية العامة للشؤون الصحية بالمنطقة الشرقية,دورات تدريبية لعام 2021 لمجمع إرادة والصحة النفسية,2022-03-14,284625.0
الجامعة السعودية الالكترونية,تصميم وتنفيذ اللوحات الخارجية والتعريفية لمباني المقر الرئيسي وفروع الجامعة,2021-10-18,437747.5
جامعة طيبة,توريد قطع غيار لأجهزة عيادات الأسنان بكلية طب الأسنان بشطري الكلية (طلاب و طالبات,2021-11-02,389657.95
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,تأهيل ونظافة الوحدات السكنية,2021-11-22,1092248.0
مؤسسة البريد السعودي,تأسيس إدارة الجودة والحوكمة الرقمية بقطاع تقنية المعلومات ,2021-10-13,2999200.0
إدارة التعليم بمنطقة القصيم,عملية تامين وتوريد مياه صحية لمدارس المنطقة,2021-08-22,864800.0
الهيئة العليا لتطوير منطقة حائل,التأمين الطبي لمنسوبي هيئة تطوير منطقة حائل وذويهم ,2021-09-27,2853926.25
المؤسسة العامة للري,تغيير مسار كوابل المنظومة الكهربائية لغرف الصمامات بقطاع رقم ( 10 ) في محطة صويدرة,2021-08-01,1580100.0
الشئون الصحية بمنطقة حائل,صيانة وإصلاح الأجهزة والمعدات الطبية لمستشفى الملك سلمان التخصصي 500 سرير ومركز القلب بمنطقة حائل,2022-10-20,50736984.39
جامعة تبوك,تجهيز المستودع والقاعات والمكاتب الادارية بالموكيت والستائر لوحدة المحاكاة,2021-09-02,159160.0
مؤسسة البريد السعودي,صيانة السيور الناقلة بمراكز المعالجة ( الرياض – الدمام – جدة ),2021-10-03,4647279.43
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار كهرباء لمحطات تحلية جدة - الساحل الغربي,2021-09-07,95000.0
الهيئة السعودية للمواصفات والمقاييس والجودة,توريد أسطوانات ساعة السيزيوم لمختبر  التردد والوقت بالمركز الوطني للقياس والمعايرة ,2021-11-08,726574.9
جامعة الجوف,مشروع تشجير المدينة الجامعية بجامعة الجوف ,2021-10-31,10411065.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بالجبيل,مكافحة الحشرات والقوراض,2021-09-20,15684614.87
جامعة الملك عبدالعزيز,تأمين قطع غيار لأجهزة الحاسب الآلي,2021-09-03,111262.5
وزارة البيئة والمياه والزراعة,تقديم خدمات الحراسات الأمنية لفروع الوزارة والمواقع التابعة لها بالقطاع الشمالي,2022-11-15,35477814.4
الهيئة السعودية للمواصفات والمقاييس والجودة,تقديم خدمات لوجستية ونظافة ومكافحة الحشرات بمباني الهيئة وفروعها ,2022-03-23,17831834.91
جامعة الملك سعود,مشروع اتفاقية أدوبي العالمية للأغراض التعليمية (ETLA),2021-08-25,420578.0
بلدية القوز(القنفذة),تشغيل وصيانة الانارة ببلدية القوز والقرى التابعة لها(عقد لمدة 36شهر ),2021-09-03,4836624.0
إدارة التعليم بمنطقة تبوك,عملية نقل المقررات الدراسية والرجيع بمنطقة تبوك,2021-08-24,488347.5
التجمع الصحي بمنطقة القصيم,تطوير منطقة الملاحظة بطوارئ مستشفى الرس العام,2021-08-26,680627.5
وزارة الصحة  -  الديوان العام,منافسة إحلال وتطوير البنية التحتية لشبكة الكهرباء بمستشفى تثليث العام ,2022-01-04,13919255.0
إدارة التعليم بمنطقة تبوك,صيانة و اصلاح و تشغيل المباني التعليمية بإدارة التعليم بمنطقة تبوك (بنين - بنات) مدة العملية 36 شهرا ميلادي,2023-01-23,39997575.0
جامعة شقراء,منافسة تشغيل وصيانة مباني كليات محافظة حريملاء,2021-08-15,3154542.0
جامعة شقراء,تشغيل ونظافة وصيانة مبنى العمادات المساندة بالحرم الجامعي بجامعة شقراء,2021-08-15,2106846.0
المديرية العامة للشؤون الصحية بالمنطقة الشرقية,تأمين أثاث وأجهزة غير طبية لمجمع إرادة للصحة النفسية ,2022-02-02,225616.7
جامعة شقراء,تشغيل وصيانة ونظافة مباني كليات محافظة المزاحمية بجامعة شقراء,2021-08-15,1217118.6
وزارة البيئة والمياه والزراعة,تقديم خدمات الحراسات الامنية للفروع والمواقع التابعه لها بالقطاع الشرقي,2022-12-13,38861683.2
أمانة العاصمة المقدسة, خدمات الأمن والسلامة وتشغيل وصيانة الأنظمة الأمنية لمبنى أمانة العاصمة المقدسة والمرافق العامة  ,2022-02-06,47532340.5
وزارة البيئة والمياه والزراعة,تقديم خدمات الحراسات الامنية للفروع والمواقع التابعه لها بالقطاع الشمالي الغربي,2022-09-25,29549085.44
الهيئة العامة للغذاء والدواء,حملة توعوية (خدمات التعريف بأسعار الأدوية),2021-08-25,716450.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار ميكانيكية لمحطة الشعيبة  60001630 Fab SHO,2021-11-15,83417.0
وزارة البيئة والمياه والزراعة,تقديم خدمات الحراسات الامنية للفروع والمواقع التابعة لها بالقطاع الغربي,2022-10-04,40853520.0
جامعة طيبة, تأمين ورق تصحيح آلي عربي/انجليزي لكليات الجامعة وفروعها,2021-10-10,132250.0
وزارة البيئة والمياه والزراعة,تقديم خدمات الحراسات الأمنية لفروع الوزارة والمواقع التابعة لها بالقصيم,2021-10-24,11759256.0
إدارة التعليم بمنطقة مكة المكرمة,نظافة المباني الإدارية (نساء) بإدارة التعليم بمنطقة مكة المكرمة,2021-10-30,14837760.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع ميكانيكيه خاصة لمحطات الجبيل 60000628,2021-08-22,244376.0
إدارة التعليم بمنطقة مكة المكرمة,نظافة المباني الإدارية (رجال) بإدارة التعليم بمنطقة مكة المكرمة,2021-10-30,20343960.0
بلدية صبح بللحمر,صيانة وتشغيل محرقة النفايات ببلحمر,2021-10-04,2594572.5
أمانة محافظة الطائف,توريد كيبل ,2022-05-29,287500.0
أمانة منطقة تبوك,طلب مواتير الرش ,2022-08-05,73600.0
المديرية العامة للشؤون الصحية بمنطقة عسير,مشروع إحلال وتطوير الأعمال الكهرو ميكانيكية والتطويرية لقسم الإنعاش والأمراض التنفسية والموقع العام بمستشفى سراة عبيدة بعسير,2022-02-23,4966907.5
أمانة منطقة تبوك,استئجار سيارات لبلدية ابو راكة ,2022-08-05,131652.0
مدينة الملك عبدالله الطبية بالعاصمة المقدسة,منافسة توريد رافعات شوكية للنقل المواد داخل مدينة الملك عبدالله الطبية بالعاصمة المقدسة ,2021-11-10,1001604.0
جامعة الملك سعود,تأمين احتياجات دار جامعة الملك سعود للنشر من الورق والمحاليل والخامات للعام المالي 2021م ,2021-09-02,4136467.66
المديرية العامة للشؤون الصحية بمنطقة عسير,مشروع إحلال وتطوير الأعمال الكهرو ميكانيكية والتطويرية لمنطقة الاستقبال والملاحظات والواجهات الخارجية بمستشفى سراة عبيدة بعسير,2021-11-22,4790543.5
الهيئة العامة للنقل,استئجار السيارات للهيئة العامة للنقل وفروعها في مناطق المملكة ,2021-09-30,12017499.82
جامعة تبوك,تأمين أجهزة (Access Control),2021-09-02,227700.0
وزارة الاستثمار, مشروع البحث عن الكفاءات واستقطابهم (اتفاقية إطارية مفتوحة),2022-04-12,62790.0
إدارة التعليم بمحافظة الطائف,"تأمين مستلزمات تعليمية (بروجكتور , شاشة) ",2021-10-11,299550.0
وزارة الرياضة,توريد وتركيب كراسي دكات الاحتياط بالمنطقة الشرقية ,2021-12-22,998200.0
جامعة الامام محمد بن سعود الاسلامية,منافسة طباعة أوراق قارئة العلامات والأظرف لعمادة التعلم الإلكتروني والتعليم عن بعد,2021-12-23,626750.0
وزارة البيئة والمياه والزراعة,توريد سيارات لإدارة تشغيل وصيانة سد وادي نجران,2021-10-01,930810.0
وزارة التعليم,تقديم خدمات الحراسات الامنية المدنية الخاصة بمبنى وزارة التعليم والمباني التابعة لها,2021-12-27,19402192.8
مدينة الأمير محمد بن عبد العزيز الطبية,مشروع تجديد خدمة الإستضافة و الدعم الفني لنظام التطبيب عن بعد لمدة سنة,2021-08-24,253000.0
إدارة التعليم بمحافظة الليث,عملية ترميم ابتدائية تحفيظ القرآن الكريم بالشواق,2022-01-23,326400.0
إدارة التعليم بمحافظة الليث,عملية ترميم مبنى الروضة الثانية بالليث,2022-01-23,115500.0
أمانة منطقة الرياض,مشروع هدم المباني ونقل انقاضها لمدافن النفايات في احياء مدينة الرياض ,2022-06-16,2645000.0
إدارة التعليم بمحافظة الليث,عملية ترميم عدد من المدارس بإدارة التعليم بمحافظة الليث ( قطاع أضم ),2022-01-23,410000.0
وزارة البيئة والمياه والزراعة,توريد أعلاف للإدارة العامة للإنتاج الحيواني,2021-09-02,645840.0
إدارة التعليم بمحافظة الليث,عملية ترميم عدد من المدارس بإدارة التعليم بمحافظة الليث ( قطاع الليث ) ,2022-01-23,438570.0
وزارة البيئة والمياه والزراعة,تحسين وتطوير خدمة العمل عن بعد في وزارة البيئة والمياه والزراعة,2021-09-28,4766838.41
أمانة منطقة تبوك,تامين وتوريد قطع غيار سيارات (بلدية محافظة تيماء),2021-10-09,47999.85
إدارة التعليم بمحافظة الليث,عملية ترميم مجمع قفيلان بربوع العين - بنات ,2022-02-28,651945.0
وزارة الموارد البشرية و التنمية الاجتماعية,الصيانة والنظافة والعناية الشخصية لمراكز التأهيل الشامل ودور الرعاية بالمجموعة الرابعة (عسير/الباحة/جازان/نجران),2022-04-24,227108068.0
إدارة التعليم بمنطقة مكة المكرمة,توريد قطع غيار الصيانة بإدارة التعليم بمنطقة مكة المكرمة,2021-08-31,1310281.25
وزارة البيئة والمياه والزراعة,تقديم خدمات الحراسات الأمنية لديوان الوزارة والمواقع التابعه لها,2021-10-24,18434520.0
الهيئة العامة للغذاء والدواء,مشروع الانتاج الفني للمواد المطبوعة والمرئیة التفاعلیة,2021-09-29,2062838.27
إدارة التعليم بمحافظة الليث,عملية ترميم مدرسة ثانوية الوسقة - بنات ,2022-01-23,253594.6
إدارة التعليم بمحافظة الليث,عملية ترميم مدرسة ابتدائية الوسقة - بنات ,2022-01-23,251144.6
إدارة التعليم بمحافظة الطائف,ترميم واستبدال عدد 8 مصاعد بمباني الإدارة بالفيصلية للبنين والبنات ,2021-10-11,1798278.0
جامعة حفر الباطن,توريد وتركيب برامج هندسية لمعامل كلية الهندسة بجامعة حفرالباطن,2021-11-07,667230.0
إدارة التعليم بمنطقة مكة المكرمة,صيانة وإصلاح وتشغيل المباني الإدارية بإدارة التعليم بمنطقة مكة المكرمة,2021-11-08,3610080.0
إدارة التعليم بمحافظة الليث,عملية ترميم مدرسة الماء الحار - بنات ,2022-01-23,328104.0
أمانة محافظة الأحساء,تأمين وتوريد مواد كهربائية لزوم صيانة الإنارة لمدينتي الهفوف والمبرز والقرى التابعة لها,2021-12-02,1838907.5
بلدية محافظة الرس,توريد عدد من الأعمدة الديكورية وكابلات متعددة المقاسات / بلدية محافظة الرس,2021-08-30,372600.0
أمانة منطقة القصيم,استئجار سيارات متنوعة بدون سائق وبدون وقود ,2021-09-30,13787400.6
مجلس شؤون الأسره,تحليل مشروع المرأة المناهج التعليمية,2021-08-31,499997.0
إدارة التعليم بمنطقة مكة المكرمة,صيانة وإصلاح وتشغيل أجهزة التبريد والتكييف والتدفئة في المباني الإدارية بإدارة التعليم بمنطقة مكة المكرمة,2021-08-23,2161080.0
أمانة منطقة عسير, تامين وتوريد قطع غيار مجموعة معدات تابعه للامانه,2021-10-28,424982.5
أمانة منطقة المدينة المنورة,تأهيل وتطوير مبنى المجلس البلدي بالمدينة المنورة ,2021-11-14,2280460.93
أمانة محافظة الطائف,عملية تشغيل مقابر محافظة الطائف,2021-09-22,6908252.4
إدارة التعليم بمنطقة تبوك,عملية  صيانة الاعمال المدنية والكهربائية لمبنى مدرسة ثانوية الملك فهد بمدينة تبوك ,2022-02-20,3202462.5
مؤسسة البريد السعودي,مشروع هدم وإعادة إنشاء مبنى بريد فرع التحلية,2021-09-26,2273042.85
إدارة التعليم بمنطقة تبوك,نظافة المباني الإدارية بإدارة التعليم بمنطقة تبوك ,2021-11-15,8010900.0
إدارة التعليم بمنطقة تبوك,توريد و تأمين المياه لعدد من الأبنية التعليمية بمنطقة تبوك ,2021-10-28,1360557.9
إدارة التعليم بمنطقة تبوك,عملية صيانة سور مدرسة ابتدائية تحفيظ القران ( بنين ) بتبوك ,2021-10-25,140714.0
إدارة التعليم بمنطقة تبوك,توريد مياه صحية معبأة للأبنية التعليمية بمنطقة تبوك,2021-10-25,854527.91
إدارة التعليم بمنطقة تبوك,صيانة ثانوية ضباء بمدينة ضباء التابعة لمنطقة تبوك,2021-11-03,1498456.9
إدارة التعليم بمنطقة تبوك,صيانة المدارس المستهدفة بالطفولة المبكرة بمنطقة تبوك المرحلة الثالثة,2022-02-24,1546032.4
الهيئة العامة للمنشآت الصغيرة والمتوسطة,التدريب المباشر,2021-10-19,1540000.0
الهيئة العامة للطيران المدني,منافسة مشروع توريد سجاد ملكي خاص بالاستقبالات الرسمية بلون زهرة الخزامى البنفسجي,2021-11-01,13719500.0
وزارة الصناعة والثروة المعدنية,مشروع تجديد خدمة الانترنت للمنطقة الغربية ومنطقة أبها,2021-09-01,1069362.0
المؤسسة العامة لتحلية المياه المالحة,مشروع استبدال القواطع الكهربائية للجهد المتوسط والمنخفض في محطة ضخ جدة بأنظمة نقل مياه الشعيبة,2021-11-07,3202600.5
الشئون الصحية بمحافظة جدة,توريد محروقات لزوم صحة جدة و توابعها (بنزين91),2021-11-21,1425952.0
بنك التنمية الاجتماعية,مشروع تنفيذ الأعمال الهندسية لفرع بنك التنمية الاجتماعية في تبوك  (مشروع جادة30),2021-09-15,2546790.0
المؤسسة العامة للري,صيانة ونظافة ورعاية وتشغيل المسطحات الخضراء والنخيل بمقر المؤسسة ومرافقها بمحافظة الأحساء,2021-08-01,724500.0
أمانة منطقة حائل,صيانة الملاعب واستبدال التالف بالقرى التابعة لمدينة جبة,2022-03-09,386850.0
بلدية البصر,توريد مواد كهرباء (بلديد البصر),2021-09-14,139828.5
الهيئة السعودية للبيانات والذكاء الاصطناعي,متطلبات التواصل والإعلام للقمة العالمية للذكاء الاصطناعي,2021-09-16,15993337.5
أمانة منطقة حائل,توريد وتركيب لوحات مسميات القرى التابعة بمدينة جبة والقرى التابعة لها ,2022-03-09,294400.0
أمانة محافظة الطائف,تأمين بلدورات ,2022-06-05,62100.0
المركز الوطني لتنمية الحياة الفطرية,توريد اجهزة اتصالات لاسلكية ,2021-10-28,1362916.75
وزارة الإعلام - الديوان العام,صيانة ونظافة مبنى فرع وزارة الإعلام بالعاصمة المقدسة ومقرات الوزارة بالمشاعر المقدسة,2021-10-12,1395180.0
المركز الوطني لتنمية الحياة الفطرية,تصميم مباني ومسيجات الإكثار والتسوير بمركز الأمير محمد السديري بالقصيم,2021-10-07,345000.0
هيئة الهلال الأحمر السعودي,توريد الزي الرسمي للهيئة ,2021-09-27,3788100.0
أمانة محافظة الطائف,توريد وتركيب تانكي شفط صرف صحي,2022-06-05,115000.0
أمانة منطقة الحدود الشمالية,عملية توريد مضخات ومحركات غاطسة بأمانة منطقة الحدود الشمالية,2021-09-07,217350.0
هيئة المحتوى المحلي والمشتريات الحكومية,توفير الخدمات الأمنية,2022-01-03,3500000.0
مؤسسة البريد السعودي,مشروع تنظيم الفعاليات والهدايا المؤسسية,2021-09-08,3704032.7
الهيئة الملكية للجبيل وينبع - الإدارة العامة بالجبيل,شبكة الخدمات المشتركة,2022-01-25,198018374.65
المركز الوطني لتنمية الحياة الفطرية,ترميم المباني وتصميم اعمال التسييج بمركز الأمير سعود الفيصل بالطائف,2021-10-07,499331.15
جامعة جدة,تأمين احتياجات مركز الاعلام الرقمي,2021-10-19,2230000.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,توريد وتركيب أرفف لتحسين بيئة المستودعات المرحلة الأولى ببرنامج الخدمات الصحية بالهيئة الملكية بينبع,2022-02-28,1264264.0
بنك التنمية الاجتماعية,مشروع توريد وتركيب أجهزة تقنية المعلومات لفروع بنك التنمية الاجتماعية (جادة30) في:  خميس مشيط - تبوك - الدمام,2021-09-20,1330683.4
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار ميكانيكية لمحطة ينبع 60001603 Mech YAN,2022-01-12,54518.0
أمانة المنطقة الشرقية,مشروع صيانة الطرق الرابطة بمدينة الدمام (المجموعه الأولى) للأعوام  2021  - 2024  م ,2021-11-04,32606640.0
أمانة المنطقة الشرقية, مشروع جائزة الأمين للتميز ,2021-09-14,391057.5
جامعة الإمام عبدالرحمن بن فيصل,تمديد التراخيص للنظام الطبي بمستشفى الملك فهد الجامعي بالخبر,2022-08-08,5572923.0
إدارة التعليم بمحافظة شقراء,عملية تأمين الماء العذب للمدارس والأقسام بإدارة التعليم بمحافظة شقراء,2021-10-04,797400.0
جامعة الأميرة نورة بنت عبدالرحمن,توريد مستلزمات طبية (ثلاجة لحفظ الجثث)  لكلية الطب البشري بجامعة الأميرة نورة بنت عبد الرحمن,2021-10-24,249550.0
جامعة الملك خالد, أعمال تعديلات بالمجمع الاكاديمي للطالبات بأبها وبكلية العلوم الطبية التطبيقية للبنين بخميس مشيط (إعادة طرح),2021-08-09,196937.5
المؤسسة العامة للري,تأمين وتوريد رخص برامج مايكروسوفت للمؤسسة,2021-08-26,1045962.37
المؤسسة العامة لتحلية المياه المالحة,توريد وتركيب مظلات وتحسين طريق الوصول للمفرحات لمنظومة نقل مياه ينبع – المدينة المنورة,2021-11-15,939837.5
الجامعة الإسلامية بالمدينة المنورة,تأمين متطلبات التعقيم والسلامة الوقائية لموظفي إدارات الجامعة ,2021-09-09,369300.0
أمانة محافظة الطائف,سفلتة وأرصفة بالطائف,2021-12-30,16927175.45
وزارة النقل والخدمات اللوجستية-  الديوان العام,إستكمال تنفيذ جسور أودية بمحافظة بيشة (جسر الغفرات) 						,2021-11-22,17571787.25
وزارة النقل والخدمات اللوجستية-  الديوان العام,استئجار سيارات لوزارة النقل وفروعها لمدة ثلاث سنوات ميلادية,2021-08-23,9479523.6
جامعة الامام محمد بن سعود الاسلامية,توريد وتركيب نظام التحكم بالوصول لأنظمة الشبكة لمستخدمي الشبكة اللاسلكية,2021-09-27,734850.0
المؤسسة العامة لتحلية المياه المالحة,توريد وتوفير أغشية تناضح عكسي لمحطات جدة 60001434,2021-12-19,2540000.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار محطه راس الخير 60001593 Mech RAK FPD ,2021-09-19,1734611.48
بلدية البصر,إعادة صيانة خرسانة أرضيات ممرات ومضامير المشي بمنتزه البصر العام,2021-09-15,154301.0
امانة محافظة حفر الباطن,صيانة وتشغيل الحاسب الآلي ( تشغيل الأمن السيبراني بأمانة محافظة حفر الباطن),2021-09-01,2699280.0
المؤسسة العامة للتدريب التقني والمهني,صيانة وتشغيل الكلية التقنية للبنين والكلية التقنية للبنات والكلية الرقمية للبنات بالرياض,2021-10-31,1599099.84
المؤسسة العامة للتدريب التقني والمهني,صيانة وتشغيل الكلية التقنية للبنين والبنات بمكة المكرمة ,2021-10-20,1096464.09
أدارة الموارد الذاتية بصحة جدة,إحلال وتوفير تلفزيونات لغرف المرضى بمستشفى الملك فهد العام بجدة,2021-12-19,299586.5
مدينة الأمير محمد بن عبد العزيز الطبية,توريد مستلزمات تقنية المعلومات,2021-08-22,220225.0
هيئة الإذاعة والتلفزيون,تأمين طابعة بطاقات لهيئة الاذاعة والتلفزيون مع التركيب والتشغيل,2021-11-04,156210.25
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توريد خدمات التشغيل والدعم الفني المتخصصة لنظام اوركل لتخطيط موارد المنشاة,2021-11-03,23103757.5
أمانة منطقة حائل,توريد  مشروع توريد محروقات لمحطة امانة حائل,2021-08-26,3064129.92
وزارة الاقتصاد والتخطيط  -  الديوان العام,توريد مستلزمات تكريمية وترحيبية للموظفين,2021-09-30,239324.2
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,برنامج التميز التربوي والتمكين القيادي,2022-02-21,315123.0
هيئة تطوير منطقة المدينة المنورة,تأمين وتوريد الرخص التشغيلية للحاسب الآلي,2021-10-14,268180.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار لمستودع محطات الخبر 60001193,2021-12-19,823567.0
إدارة التعليم بمحافظة المهد,نظافة وصيانة وإصلاح وتشغيل المباني الإدارية,2021-11-08,2984940.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار مستودع محطات الشعيبة 60001432,2021-09-19,194472.0
جامعة الإمام عبدالرحمن بن فيصل,إنشاء أسوار أقسام الطالبات بالمدينة الجامعية (المرحلة الثانية),2022-11-30,970000.0
وزاة التجارة,تشغيل وصيانة ونظافة مبنى مكتب معالي الوزير بجدة وصيانة وتشغيل الحديقة وشبكة الري والنباتات الداخلية,2021-12-13,673371.0
جامعة الأميرة نورة بنت عبدالرحمن,توريد وتركيب أجهزة طبية لمعامل كلية طب الأسنان بجامعة الأميرة نورة بنت عبد الرحمن,2021-11-18,3057041.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار لمستودع محطات الشعيبة 60001338,2021-08-22,223878.0
الهيئة العامة لعقارات الدولة,توريد وتركيب البنية التحتية التقنية لفرع الهيئة بالأحساء وتوريد أجهزة تقنية لجميع فروع الهيئة ,2021-10-13,2940343.52
جامعة القصيم,تشغيل الحاسب الآلي بجامعة القصيم,2021-12-29,271000.0
إدارة التعليم بمحافظة الخرج,توريد مياه الغسيل والمياه الصالحة للشرب لجميع المدارس والمباني الإدارية التابعة لإدارة التعليم بمحافظة الخرج,2021-08-19,1912017.6
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,عقد خدمات استشارية لمركز الخدمات اللوجستية المتعددة    ,2021-12-28,9140292.0
وزارة المالية  -  الديوان العام,رفع الوعي الاعلامي المالي,2021-10-13,994899.5
الهيئة العامة للمنشآت الصغيرة والمتوسطة,خدمات الأمن والسلامة لمركز الدعم بالخبر  ,2021-08-29,513994.8
أمانة محافظة جدة,صيانة مقابر محافظة جدة ونظافة المقابر الغير عاملة منها 16698,2021-12-09,9999963.0
إدارة التعليم بمحافظة الزلفي,عملية صيانة وإصلاح وتشغيل المباني المدرسية بإدارة تعليم الزلفي,2021-12-09,5506200.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار محطه راس الخير 60001559 Mech RAK FPD,2021-08-22,286013.0
وكالة شؤون البلديات التابعة لأمانة المنطقة الشرقية,مشروع النظافة العامة لمبني بلدية محافظة راس تنورة ومباني الخدمات المساندة لها,2021-10-10,1379599.93
المؤسسة العامة للتدريب التقني والمهني,صيانة وتشغيل الكلية التقنية للبنين والبنات ومجلس المنطقة بالباحة,2021-11-30,998210.34
المؤسسة العامة للتدريب التقني والمهني,صيانة وتشغيل الكلية التقنية للبنين والبنات بالاحساء,2021-09-26,1003204.8
المؤسسة العامة للتدريب التقني والمهني,صيانة وتشغيل كلية الاتصالات والالكترونيات والمعهد الصناعي الثانوي بجدة  ,2022-01-11,1067788.8
أمانة منطقة تبوك,توريد ادوات مكتبية ونماذج مطبوعات البلدية,2021-07-29,30963.75
أمانة منطقة تبوك,صيانة محطة التحلية ,2021-08-20,204223.21
وكالة شؤون البلديات التابعة لأمانة المنطقة الشرقية,مشروع جمع ونقل النفايات من محافظة راس تنورة وتوابعها ,2022-04-25,18038700.0
بنك التنمية الاجتماعية,توسعة الطاقة الاستيعابية لبعض الخوادم ونظام النسخ الاحتياطي ,2021-08-16,543480.8
وزارة الاستثمار,تجديد رخص واشتراكات سحابية لأنظمة الوزارة ,2021-09-20,20833912.73
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,عقد دراسة شبكة البخار وتطوير الأعمال,2021-12-06,7511800.0
وزاة التجارة,تأمين وتوريد مطبوعات وملصقات العمل الرقابي للتستر والغش التجاري ,2021-11-11,508300.0
إدارة التعليم بمحافظة رجال ألمع,توريد وتركيب وحدات دولابي لمقر المستودعات الرئيسية بتعليم رجال المع,2022-02-20,102062.5
بلدية محافظة المذنب,استئجار سيارتين ركوب,2021-09-08,305532.0
ميناء جدة الاسلامي,ربط شبكة الميناء مع محطة التحويل الكهربائية للشركة السعودية للكهرباء رقم SPT-110-02,2022-01-11,6040900.0
أمانة منطقة جازان,صيانة طريق الكورنيش الشمالي المرحلة الأولى,2021-09-08,1808375.0
أمانة منطقة الرياض,صيانة شبكات وعبارات وتصريف مياه الامطار,2021-10-13,996192.1
المؤسسة العامة لتحلية المياه المالحة,مشروع إدارة السلامة الذكية,2021-11-17,662354.0
الهيئة العامة للأمن الغذائي,فصل التغذية الكهربائية لخطوط نقل القمح للقطاع الحكومي من شركة المطاحن بفرع المؤسسة بجدة,2021-11-09,1024075.0
جامعة أم القرى,تأمين احتياجات ومستلزمات كلية الصحة العامة وكلية العلوم التطبيقية وكلية أضم بجامعة أم القرى.,2021-09-19,1474380.28
بلدية محافظة خليص,صيانة وتأهيل أعمدة الإنارة بقرى وأحياء محافظة خليص ,2021-10-31,278530.0
جامعة القصيم,مشروع تصميم وتطوير المقررات الإلكترونية بجامعة القصيم ,2021-09-08,2066175.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار محطه الخفجي 60001175 KHA Mech FPD,2021-09-08,3018750.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,صيانة اجهزه طبية,2021-12-08,20800092.6
المؤسسة العامة للري,توريد وتركيب وتعبئة أسطوانات غاز الكلور وتشغيل وصيانة منظومات التجريع بغاز الكلورين في المرافق والمحطات التابعة للمؤسسة,2021-07-18,669645.0
