Name,Description,Date,Amount
وزارة المالية,خدمات النقل الترددي لموظفي هيئة كفاءة الإنفاق والمشروعات الحكومية,2023-10-31,799999.52
صندوق التنمية الثقافي, تقديم خدمات المراقبة المستمرة والاستجابة لحوادث الأمن السيبراني لصندوق التنمية الثقافي,2023-12-26,1598500.0
صندوق التنمية الثقافي, تقديم خدمات المراقبة المستمرة والاستجابة لحوادث الأمن السيبراني لصندوق التنمية الثقافي,2023-12-26,1598500.0
وزارة الشؤون البلدية والقروية,سفلتة وأرصفة وإنارة للأمانة والبلديات التابعة,2023-12-06,2686515.0
البيئة والمياه والزراعة,"مشروع تفعيل وتشغيل إدارة جودة تقنية المعلومات والحصول على شهادات اعتماد (CMMI, TMMI)",2024-01-04,2346000.0
البيئة والمياه والزراعة,"مشروع تفعيل وتشغيل إدارة جودة تقنية المعلومات والحصول على شهادات اعتماد (CMMI, TMMI)",2024-01-04,2346000.0
وزارة الشؤون البلدية والقروية,توريد بلدورات وانتر لوك وبلوك ورمل ودهانات لإعمال الصيانة ,2023-11-08,298218.0
وزارة الشؤون البلدية والقروية, مشروع رفع أو خفض غرف التفتيش ومصائد السيول في محافظة البدائع والقرى التابعة لها ,2023-11-30,224250.0
البيئة والمياه والزراعة,إنشاء وتجهيز مركز صيانة القوارب بخور فرسان,2023-12-28,2849930.0
وزارة الشؤون البلدية والقروية,توريد كفرات وبطاريات وزيوت لمعدات البلدية,2023-11-07,193591.0
البيئة والمياه والزراعة,تأمين معدات وآلات لمركز أبحاث وتنمية المراعي بمنطقة الجوف,2023-12-27,19439528.7
البيئة والمياه والزراعة,تأمين معدات وآلات لمركز أبحاث وتنمية المراعي بمنطقة الجوف,2023-12-27,19439528.7
وزارة التعليم,مشروع ترقية بوابات البريد الإلكتروني,2023-12-25,1121311.86
وزارة التعليم,مشروع تجديد الرخص المستخدمة لنظام الاختبارات والمراقبة الإلكترونية,2024-02-01,858015.0
وزارة الشؤون البلدية والقروية, نقل شاخص حد الحرم بالعكيشية   ,2024-01-25,132250.0
الهيئة السعودية للبيانات والذكاء الاصطناعي,اطلاق خدمة المستفيدين (لغة الإشارة),2024-02-01,2997697.84
الهيئة السعودية للبيانات والذكاء الاصطناعي,اطلاق خدمة المستفيدين (لغة الإشارة),2024-02-01,2997697.84
وزارة الشؤون البلدية والقروية,الواح سواتر بيلو جمالية ,2023-11-12,969450.0
وزارة الشؤون البلدية والقروية,صيانة مرافق الحدائق جنوب وشرق محافظة جدة   (بلدية ام السلم وبلدية أبرق الرغامة) - 17373,2023-12-31,12487067.5
وزارة التعليم, توريد اعلاف مركزة لمحطة الأبحاث الزراعية بهدى الشام التابعة لجامعة الملك عبدالعزيز بجدة,2023-11-02,148925.0
البيئة والمياه والزراعة,إنشاء وتجهيز مزاد الأسماك بالقنفذة,2023-12-28,2345000.65
وزارة الشؤون البلدية والقروية,توريد وتركيب خزانات فيبر جلاس 60000 لتر,2023-10-31,213900.0
الهيئة الملكية للجبيل وينبع,ربط الكاميرات الأمنية في البوابات ومبنى الإطفاء بغرفة العمليات في المبنى الرئيسي,,0.0
