الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة
بلدية محافظة القريات,جمع ونقل النفايات والنظافة بمحافظة القريات والقرى التابعة لها,2021-10-04,70849000.0
أمانة منطقة عسير,تأمين مواد لتأثيث مكاتب موظفي الأمانة .,2021-10-19,284625.0
مستشفى الملك خالد التخصصي للعيون,تامين اسرة وكراسي طبية,2022-03-14,718700.0
وزارة البيئة والمياه والزراعة,تجديد الدعم الفني لرخص برمجيات أوراكل بوزارة البيئة والمياه الزراعة,2021-01-31,1954862.0
المؤسسة العامة لتحلية المياه المالحة,إصلاح موانع التسريب عدد 14 للأنظمة نقل مياه راس الخير,2021-08-12,460285.0
بلدية محافظة القطيف,مشروع صيانة الحماية الحجرية بكورنيش محافظة القطيف للعام 1442-1443 هـ,2021-02-24,1319625.0
المؤسسة العامة للتدريب التقني والمهني, تشغيل اعمال الحراسات الأمنية في الكلية التقنية للبنين بتبوك (مخصص للمنشآت الصغيرة والمتوسطة المحلية فقط),2021-07-26,364869.79
المؤسسة العامة للتدريب التقني والمهني,تشغيل اعمال الحراسات الأمنية في الكلية التقنية للبنين بالمدينة المنورة (مخصص للمنشآت الصغيرة والمتوسطة المحلية فقط),2021-07-26,366519.72
المؤسسة العامة للتدريب التقني والمهني,تشغيل اعمال الحراسات الأمنية في الكلية التقنية للبنين بالطائف (مخصص للمنشآت الصغيرة والمتوسطة المحلية فقط ),2021-08-11,366519.72
المؤسسة العامة للتدريب التقني والمهني,تشغيل اعمال الحراسات الأمنية في الكلية التقنية للبنين بالباحة (مخصص للمنشآت الصغيرة والمتوسطة المحلية فقط ),2021-07-26,376739.85
المؤسسة العامة للتدريب التقني والمهني,تشغيل اعمال الحراسات الأمنية في الكلية التقنية للبنين بأبها (مخصص للمنشآت الصغيرة والمتوسطة المحلية فقط ),2021-08-05,376739.85
المؤسسة العامة للتدريب التقني والمهني,تشغيل اعمال الحراسات الأمنية في الكلية التقنية للبنين بمكة المكرمة (مخصص للمنشآت الصغيرة والمتوسطة المحلية فقط ),2021-07-05,376740.0
أمانة محافظة جدة,المكافحة المتكاملة للبعوض داخل وخارج المنازل بالقطاع الجنوبي (بلدية الجنوب - بلدية المليساء - بلدية خزام بلدية الجامعة - بلدية البلد - بلدية جدة التاريخية) 16618,2021-09-30,133086791.49
المؤسسة العامة للتدريب التقني والمهني,تشغيل اعمال الحراسات الأمنية في الكلية التقنية للبنين بجدة (مخصص للمنشآت الصغيرة والمتوسطة المحلية فقط ),2021-07-26,538199.78
الشئون الصحية بمحافظة بيشة,التغذية المطهية لمستشفى البشائر العام,2022-02-23,8693765.0
الجامعة الإسلامية بالمدينة المنورة,التخلص من النفايات الطبية,2021-11-08,160000.0
وزارة الموارد البشرية و التنمية الاجتماعية,أعمال الدراسات والتصاميم لعملية متطلبات الدفاع المدني والأمن والسلامة لمبنى فرع الوزارة بالدمام  (الخدمة المدنية سابقا),2021-05-05,126500.0
المؤسسة العامة للري,استئجار معدات وسيارات مع السائقين لنقل وترحيل المخلفات بفرع المؤسسة العامة للري في محافظة الأفلاج,2021-02-11,342760.0
وزاة التجارة,تشغيل وصيانة ونظافة مبنى فرع الوزارة في ينبع ونظافة مباني المجموعة الثانية,2021-07-29,4993626.6
