الجهة الرئيسية,اسم المنافسة,تاريخ الترسية,قيمة الترسية
وزارة الشؤون البلدية والقروية,تنفيذ حدائق متفرقة بمكة المكرمة,2023-11-21,39367030.0
وزارة الشؤون البلدية والقروية,تنفيذ شبكات تصريف مياه الأمطار ومعالجة التكورات بحي القصواء بالمدينة المنورة,2024-01-11,57440504.75
وزارة الشؤون البلدية والقروية,تنفيذ شبكات تصريف مياه الأمطار ومعالجة التكورات بحي القصواء بالمدينة المنورة,2024-01-11,57440504.75
وزارة الشؤون البلدية والقروية,تنفيذ شبكات تصريف مياه الأمطار ومعالجة التكورات بحي القصواء بالمدينة المنورة,2024-01-11,57440504.75
وزارة المالية,تنفيذ وتأهيل مستودعات المحجوزات والمتروكات في منفذ البطحاء ,2023-12-12,40962425.0
وزارة الشؤون البلدية والقروية, إنشاء خط تصريف مياه الأمطار رقم 5 بتبوك,2023-12-11,234224065.0
وزارة الشؤون البلدية والقروية,إنشاء خط تصريف مياه الأمطار رقم 17 بتبوك,2023-12-11,221906415.0
وزارة الشؤون البلدية والقروية,درء أخطار السيول وتصريف مياه الأمطار (استكمال وادي أبو نشيفة) بتبوك  ,2023-11-14,23983470.8
وزارة الشؤون البلدية والقروية,درء أخطار السيول وتصريف مياه الأمطار (استكمال وادي البقار) بتبوك  ,2023-11-01,38965450.0
وزارة الشؤون البلدية والقروية,مشروع صيانة الطرق الرئيسية (المجموعة الاولى) بمدينة الدمام للأعوام 2023-2026م   ,2023-11-01,84333410.0
وزارة الشؤون البلدية والقروية,مشروع صيانة الطرق الرئيسية (المجموعة الاولى) بمدينة الدمام للأعوام 2023-2026م   ,2023-11-01,84333410.0
وزارة الشؤون البلدية والقروية,مشروع صيانة الطرق الرئيسية (المجموعة الثانية) بمدينة الدمام للأعوام 2023-2026م   ,2023-12-20,115324300.0
وزارة الشؤون البلدية والقروية,مشروع صيانة الطرق الرئيسية (المجموعة الثانية) بمدينة الدمام للأعوام 2023-2026م   ,2023-12-20,115324300.0
وزارة الشؤون البلدية والقروية,تأمين سيارات كبس نفايات لبلدية محافظة الزلفي,2023-09-27,879750.0
البيئة والمياه والزراعة,تقديم الدعم الفني والتشغيلي لمختبرات التشخيص البيطري والمحاجر الحيوانية,2023-10-24,48726742.6499999
البيئة والمياه والزراعة,تقديم الدعم الفني والتشغيلي لمختبرات التشخيص البيطري والمحاجر الحيوانية,2023-10-24,48726742.6499999
البيئة والمياه والزراعة,تقديم الدعم الفني والتشغيلي لمختبرات التشخيص البيطري والمحاجر الحيوانية,2023-10-24,48726742.6499999
البيئة والمياه والزراعة,تقديم الدعم الفني والتشغيلي لمختبرات التشخيص البيطري والمحاجر الحيوانية,2023-10-24,48726742.6499999
البيئة والمياه والزراعة,تقديم الدعم الفني والتشغيلي لمختبرات التشخيص البيطري والمحاجر الحيوانية,2023-10-24,48726742.6499999
البيئة والمياه والزراعة,تقديم الدعم الفني والتشغيلي لمختبرات التشخيص البيطري والمحاجر الحيوانية,2023-10-24,48726742.6499999
وزارة الشؤون البلدية والقروية,تنفيذ حلول تصريف مياه الأمطار لمنطقة (A) الحزمة الثالثة -منطقة الشراع - ,2023-11-27,212815320.0
وزارة التعليم,عملية تشغيل وصيانة المرافق الخارجية   جامعة الملك سعود - الرياض,2024-02-01,29857553.7699982
وزارة التعليم,عملية تشغيل وصيانة المرافق الخارجية   جامعة الملك سعود - الرياض,2024-02-01,29857553.7699982
وزارة التعليم,عملية تشغيل وصيانة المرافق الخارجية   جامعة الملك سعود - الرياض,2024-02-01,29857553.7699982
صندوق التنمية العقارية,مشروع تشغيل وصيانة ونظافة مباني فروع صندوق التنمية العقارية,2023-11-21,19497347.25
صندوق التنمية العقارية,مشروع تشغيل وصيانة ونظافة مباني فروع صندوق التنمية العقارية,2023-11-21,19497347.25
صندوق التنمية العقارية,مشروع تشغيل وصيانة ونظافة مباني فروع صندوق التنمية العقارية,2023-11-21,19497347.25
وزارة التعليم, أعمال خدمات الامن والسلامة بجامعة جدة وفروعها,2023-10-08,35977698.3100001
وزارة الشؤون البلدية والقروية,فتح الطرق الجبلية بمكة المكرمة,2023-11-21,22751600.0
وزارة الشؤون البلدية والقروية,فتح الطرق الجبلية بمكة المكرمة,2023-11-21,22751600.0
وزارة الشؤون البلدية والقروية,فتح الطرق الجبلية بمكة المكرمة,2023-11-21,22751600.0
وزارة الشؤون البلدية والقروية,فتح الطرق الجبلية بمكة المكرمة,2023-11-21,22751600.0
وزارة الشؤون البلدية والقروية,فتح الطرق الجبلية بمكة المكرمة,2023-11-21,22751600.0
وزارة الشؤون البلدية والقروية,فتح الطرق الجبلية بمكة المكرمة,2023-11-21,22751600.0
وزارة الشؤون البلدية والقروية,فتح الطرق الجبلية بمكة المكرمة,2023-11-21,22751600.0
وزارة الشؤون البلدية والقروية,فتح الطرق الجبلية بمكة المكرمة,2023-11-21,22751600.0
وزارة الشؤون البلدية والقروية,فتح الطرق الجبلية بمكة المكرمة,2023-11-21,22751600.0
وزارة الشؤون البلدية والقروية,فتح الطرق الجبلية بمكة المكرمة,2023-11-21,22751600.0
وزارة الشؤون البلدية والقروية,فتح الطرق الجبلية بمكة المكرمة,2023-11-21,22751600.0
